order_id,customer_id,order_date,status,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_cost,total_amount
41,546,2025-08-19,shipped,713 Stephen Spurs,West Elizabeth,WV,34991,15.93,4884.28
42,693,2025-07-22,shipped,905 Meadows Flats Apt. 199,Davidland,WI,36840,17.2,509.6
43,197,2025-07-27,processing,824 Quinn Locks Suite 363,West Danielhaven,PW,11484,10.58,1377.34
44,306,2025-04-12,processing,963 Teresa Gardens Apt. 385,Piercebury,MO,75357,23.83,2973.49
45,305,2025-08-19,shipped,0015 Mckenzie Gardens Suite 316,New Gregory,VA,42670,19.1,2617.22
46,707,2025-04-10,delivered,43357 Kim Extensions,West Tonyberg,GU,09526,11.34,5269.33
47,358,2025-02-01,cancelled,68289 Miranda Turnpike Suite 024,Richardmouth,FM,31075,23.67,3798.42
48,815,2025-10-04,shipped,6907 Alexis Spring,Williamsshire,NE,61432,10.76,2758.32
49,588,2025-03-05,cancelled,593 Cox Shoal,Morachester,UT,88698,12.59,1341.86
50,405,2024-12-24,shipped,633 Smith Springs Apt. 013,East Chad,ID,03323,24.09,4134.18
51,824,2025-02-04,processing,2684 Perez Canyon Apt. 690,West Anthony,VA,98369,10.81,898.06
52,295,2025-02-20,pending,62895 Joshua Highway,Lisaville,SC,10561,11.93,3689.34
53,453,2025-07-12,shipped,211 Clarke Roads,Simpsonstad,NC,59691,19.95,3011.38
54,220,2025-02-06,processing,6766 Christina Center Apt. 737,East Rachelmouth,WY,65265,21.56,4255.35
55,278,2025-02-27,cancelled,3850 Nathan Mission Apt. 445,Jonside,IA,48633,18.92,3921.97
56,141,2025-07-02,pending,421 Bonnie Fort Apt. 547,Julieshire,NY,30960,17.31,1528.1
57,601,2024-11-15,processing,608 Kelsey Mountain,Krystalbury,OK,30560,9.85,278.53
58,686,2025-07-12,cancelled,7600 White Canyon Apt. 965,Jillhaven,FM,82895,9.51,3233.97
59,239,2025-06-15,pending,338 Robin Lakes Apt. 634,Tylerland,UT,51259,7.0,2629.17
60,339,2025-05-13,delivered,7805 Wright Turnpike,New George,NY,24930,7.01,416.83
61,790,2025-10-24,processing,8087 Nguyen Extensions,Lake Williamborough,CT,93849,5.1,1153.34
62,564,2024-11-27,processing,8694 Jones Harbors Apt. 657,West Dalefort,MH,72808,13.14,2243.93
63,958,2025-07-18,delivered,105 Jenkins Curve Suite 246,North Henry,WI,45081,14.55,2022.19
64,205,2025-10-11,shipped,653 Castillo Lights Suite 673,Robersontown,IN,19533,11.42,4253.48
65,662,2025-09-25,pending,245 Miller Harbor,Carrhaven,PR,39614,23.16,6157.24
66,92,2025-10-08,cancelled,519 Hunt Spurs,South Judy,FL,70384,9.64,4194.97
67,757,2025-06-16,pending,237 Anthony Ramp,Smithburgh,ID,30105,23.26,2373.71
68,180,2025-07-23,delivered,7327 David Field,Leblancside,WA,93989,22.64,1086.47
69,181,2025-08-02,pending,2596 Pugh Parkway,Chadview,TN,58401,24.94,1706.97
70,407,2025-04-23,delivered,3159 Alexandra Ranch,Thomasmouth,NY,98935,8.73,3511.06
71,767,2025-04-06,shipped,89192 Gina Harbors,Benjaminberg,NE,84534,22.53,726.51
72,10,2025-08-01,shipped,835 Campbell Route,West Debbie,AR,67226,16.36,1513.94
73,110,2025-08-30,shipped,04954 William Loaf Suite 567,Jeremyhaven,MT,54109,10.69,2725.11
74,657,2025-06-06,cancelled,5392 Velasquez Wall,Lake Pam,NM,27202,15.49,5539.36
75,911,2025-01-20,processing,4081 Collins Points,Port Tammietown,NC,39382,22.02,174.87
76,480,2025-01-03,shipped,59919 Christopher Mountains Suite 448,New Sierra,CO,22485,8.86,445.59
77,116,2024-11-17,shipped,87001 Nicholas Heights Suite 521,Port Edward,MO,20630,8.25,3103.09
78,470,2025-02-13,shipped,6292 Rodney Keys,Michaelchester,FM,84749,19.37,2515.86
79,15,2025-10-19,shipped,0370 Williams Views Apt. 955,Frankstad,IN,67038,20.82,2159.83
80,582,2025-10-01,processing,7843 Davis Cove,Hollandland,MP,89142,8.51,2658.99
81,877,2025-07-23,delivered,691 Jennifer Mountains Apt. 887,Sabrinahaven,WV,12090,21.54,5210.81
82,528,2025-03-24,shipped,623 Steven Grove,New Deborahland,OK,48218,6.73,2439.19
83,686,2025-05-06,pending,2100 Jonathan Oval Apt. 940,Rioschester,NC,44961,8.7,2441.7
84,144,2025-09-03,delivered,37086 Sara Hollow,Bradfordshire,CO,07588,11.47,5528.96
85,255,2025-01-03,pending,423 Flynn Parkways Apt. 762,North Jennifer,MH,36553,10.22,2891.92
86,242,2025-05-04,delivered,60562 Richard Radial,East Paul,AR,12810,20.08,3878.94
87,977,2025-11-10,shipped,2148 Kim Burgs,Lake Brittany,MO,17672,11.04,826.04
88,741,2025-11-12,cancelled,80319 Watts Plains,Jamesshire,CA,25648,5.23,2366.13
89,670,2025-08-10,shipped,637 Griffin Pike,West Mark,RI,16828,18.86,1717.82
90,64,2025-06-23,pending,133 Kristin Drive Apt. 288,Lake Kathryn,RI,24498,14.31,244.19
91,164,2025-07-28,delivered,4138 Williams Island Suite 405,Tomstad,ID,24473,18.72,6644.58
92,946,2025-02-28,shipped,69070 Jenny Hills,West Emilytown,UT,62069,18.81,3049.6
93,655,2025-09-25,shipped,789 Simpson Knolls Apt. 600,Marthamouth,WV,40322,12.35,3050.26
94,227,2025-03-18,processing,75373 Clark Locks Suite 372,Larryshire,NJ,95348,24.15,5661.83
95,490,2025-10-26,processing,69514 Robert Estates,North Bethanyberg,MI,94674,14.1,4442.33
96,621,2025-09-04,shipped,40297 William Ports Suite 389,Johnsonchester,TN,34576,13.32,2980.24
97,563,2024-11-25,delivered,4896 Hawkins Curve,Copelandfort,MS,80271,20.15,3140.39
98,822,2024-12-29,processing,05993 Amy Brooks Suite 479,Valeriemouth,AZ,97445,20.24,968.52
99,697,2025-11-09,cancelled,59490 Juarez Gardens Suite 627,South Charlesstad,AZ,08129,22.46,1185.66
100,84,2025-11-09,cancelled,1953 Hernandez Court,Webbview,AL,73638,13.93,4444.43
101,721,2025-06-26,shipped,9753 Kristen Stravenue Apt. 545,South Kerrybury,UT,84517,6.56,2787.67
102,578,2025-06-16,pending,836 Rasmussen Canyon,Kingville,PR,72872,6.24,3493.3
103,561,2025-06-01,cancelled,757 Briana Plains,Morrowborough,AR,90528,9.04,1386.54
104,550,2025-04-22,processing,8616 Heath Glen Apt. 300,East Frank,MT,38813,8.29,1336.59
105,875,2025-04-09,cancelled,6729 Robert Corner,Jennifertown,HI,66448,13.84,2047.65
106,697,2025-07-27,processing,638 Gregory Inlet,Port Natalie,OH,07649,19.34,3343.44
107,501,2025-02-05,pending,22658 Isabel Mills Suite 292,Taylorborough,NE,31185,22.98,322.62
108,457,2025-11-06,pending,30532 Taylor Causeway,North Cynthiaside,SC,14523,14.07,1469.72
109,526,2025-10-04,delivered,73888 Sarah Club,East Christopher,KS,82492,14.14,310.87
110,60,2025-01-24,cancelled,2101 Scott Route Suite 520,Janeton,OR,76080,14.25,247.77
111,827,2024-12-12,shipped,58085 Christopher Square Apt. 504,East Margaretmouth,AR,10437,19.47,464.06
112,406,2024-12-24,shipped,750 Randall Unions,East Ashleeshire,NM,32781,21.33,2544.08
113,764,2025-06-05,processing,914 Trevor Coves Apt. 045,West Davidfurt,VT,71027,16.57,2023.26
114,47,2025-05-15,delivered,5610 Peters Underpass,Amberbury,MA,78639,11.89,2422.39
115,66,2024-12-06,cancelled,5362 Mclean Mountains,West Isaacbury,TX,25786,24.88,1671.18
116,958,2025-10-23,pending,5091 Pierce Knolls Suite 364,Lake Selenastad,NC,43831,24.72,1487.29
117,484,2025-05-17,pending,85577 Thomas Brooks,Bridgesstad,NJ,56367,10.74,3181.02
118,185,2025-11-12,processing,71061 Justin Tunnel Apt. 307,Lake Jessica,IN,74142,20.32,4637.76
119,747,2025-04-04,delivered,159 Herrera Branch,Galvanside,MS,15762,12.49,1496.09
120,913,2025-10-15,delivered,008 Sanchez Station Suite 550,Evanshaven,CT,34385,13.97,7106.33
121,940,2025-03-02,delivered,94469 Ricardo Extensions Suite 395,New Tamarahaven,CT,94162,12.51,3039.47
122,700,2025-09-10,cancelled,49415 Winters Ports,South Steven,TX,59989,7.66,1421.2
123,881,2024-12-15,shipped,996 Samantha Lock Apt. 013,North Johnfort,NY,58812,7.37,1790.61
124,551,2024-12-07,delivered,978 Ashley Garden Apt. 907,Taylormouth,OH,39665,15.58,462.94
125,746,2024-11-30,processing,062 Johnson Trail,Rickyfurt,TN,52252,21.7,3759.48
126,775,2024-11-14,pending,8902 Figueroa Street,Port William,WI,98874,24.57,3197.93
127,475,2025-06-19,cancelled,8407 Jose Crescent,East Yvonneville,MT,89514,13.48,3630.59
128,389,2025-08-24,processing,7237 Juarez Bypass,West Rachelborough,WV,07849,9.95,3702.14
129,355,2024-12-25,processing,1864 Smith Pines,Joycemouth,AZ,22858,10.51,761.57
130,960,2025-01-26,pending,4471 Durham Knolls,East Loriville,MD,97065,5.64,3987.34
131,677,2025-07-30,delivered,74883 Ryan Drive,North Douglasberg,VT,14595,17.3,4282.36
132,959,2025-10-12,pending,2076 Armstrong Station,Edwardsmouth,CT,96185,9.81,1306.09
133,69,2025-08-16,pending,725 Lindsay Mews Suite 365,Langshire,KS,77760,16.88,682.73
134,458,2025-07-25,cancelled,51108 Lindsay Passage,North Wendy,MA,60604,18.44,4088.9
135,894,2024-12-08,pending,366 Timothy Lodge,Williamhaven,CO,69421,9.89,3167.5
136,46,2025-08-26,delivered,6061 Jones Knoll,Haleymouth,MI,71389,13.78,1964.81
137,553,2025-02-18,processing,178 Mary Manor,Stephanieside,ID,35853,20.09,3913.01
138,795,2025-10-19,pending,3402 Watts Vista Suite 991,New Stephenville,NM,41632,7.8,2718.83
139,297,2025-09-12,processing,357 Megan Village Apt. 868,East Bruce,NH,96255,21.32,1981.57
140,750,2025-01-26,cancelled,4370 David Lock Apt. 897,East Jose,PW,58835,11.38,3100.05
141,613,2025-04-11,shipped,8776 Colin Cove,Lake Colleenchester,DC,34719,9.74,863.79
142,898,2025-03-26,processing,57182 Rogers Falls,Wilsontown,MO,69984,24.71,626.86
143,534,2025-02-16,processing,5658 Johnson Ferry Apt. 037,Brandymouth,ID,56115,13.27,1210.31
144,282,2025-03-02,pending,1212 Franklin Stream Suite 641,Michaelberg,DE,89426,16.13,3501.3
145,606,2025-02-11,processing,913 Fox Garden,East Kristinhaven,GA,76097,17.52,3337.71
146,438,2025-04-27,cancelled,220 Patrick Corner Apt. 350,East Richard,NC,98983,14.91,3809.39
147,996,2025-09-22,shipped,492 Castro Meadow Suite 744,Lopezport,MA,59686,23.83,4386.75
148,688,2024-12-24,delivered,4968 Alvarez Motorway Suite 041,New Christopher,NM,14967,20.72,1873.08
149,327,2025-05-09,delivered,944 Lopez Points Apt. 963,West Trevor,MH,01956,13.17,934.73
150,308,2025-03-06,delivered,4712 Benjamin Fort Apt. 680,South Latoyaburgh,KY,18984,8.68,1762.7
151,551,2025-02-10,delivered,767 Gonzalez Road Apt. 918,Haynesmouth,PA,75691,9.82,795.26
152,231,2024-12-01,shipped,94824 Mckenzie Springs Apt. 188,Port Jesseview,MO,59723,22.15,3883.08
153,148,2024-11-29,delivered,1693 Henry Pass,North Kathleenfurt,IA,65809,23.29,1101.66
154,576,2025-09-19,delivered,18508 Derrick Circles Suite 340,Julianport,RI,67000,24.36,519.15
155,571,2025-11-04,cancelled,75240 Charles Lakes,Angelshire,TN,31716,7.68,3453.13
156,249,2025-03-12,shipped,1277 Charles Underpass,Johnhaven,NM,78813,9.07,3883.02
157,663,2025-10-18,pending,291 Madison Parkway,Lake Rachelside,NM,36935,23.44,2283.14
158,868,2025-10-05,shipped,74326 Amanda Stream,Jasonbury,TN,64248,6.85,1638.38
159,742,2025-04-02,processing,6729 Hill Drive,Loriburgh,PR,18642,6.03,3764.77
160,387,2025-01-09,cancelled,7283 Jeffrey Summit Apt. 260,East Derek,TN,58893,17.06,3460.6
161,895,2025-03-13,pending,5834 Powers Cliffs,Robinsonhaven,AS,91649,8.76,3098.6
162,780,2024-12-13,cancelled,924 Joshua Valleys,New Samuel,IN,47189,19.49,174.06
163,573,2025-09-05,processing,2288 Edward Trace Apt. 974,Port Anthonyburgh,RI,30713,14.59,4101.94
164,891,2025-04-11,shipped,514 Cooper Trail Suite 444,Port Wendy,MH,85171,11.06,4419.24
165,931,2025-05-01,pending,2683 Laura Ford,Amandaborough,NM,88767,9.24,736.51
166,195,2025-03-22,pending,378 Davis Ranch Apt. 116,Jasonberg,VI,55565,19.94,805.16
167,773,2025-02-13,delivered,967 Combs Bypass Suite 717,West Christyland,SD,71267,23.29,7735.17
168,713,2025-02-02,cancelled,35625 Smith Ford,Kathrynport,DE,07714,19.08,2492.78
169,407,2025-07-29,processing,411 Scott View,North Sarah,SC,86366,16.04,743.36
170,795,2024-12-29,shipped,73822 Hampton Canyon,Ryanside,UT,98224,12.61,3486.48
171,547,2025-07-06,shipped,07099 Roman Plains Suite 399,Edwardschester,OH,13426,11.17,597.13
172,369,2025-06-11,cancelled,110 Christine Pine Suite 938,West Alexis,OK,32590,22.66,807.09
173,478,2025-01-05,pending,3296 Charles Summit Suite 320,Port Johntown,PR,52448,21.06,2351.66
174,740,2025-09-15,delivered,23969 Margaret Shore,Jamesville,CA,44928,20.23,4923.17
175,328,2024-12-17,processing,4659 James Mall Suite 978,South Brenda,AR,69581,12.41,3179.84
176,424,2024-11-18,pending,0322 Williams Bridge Suite 391,Lake Valerie,RI,60730,16.25,1478.37
177,227,2025-02-10,processing,3888 Craig Estates,West Morganview,GA,66414,5.32,1318.16
178,567,2025-09-30,cancelled,61601 Elizabeth Road,Hernandezside,RI,83228,16.58,1091.68
179,428,2025-10-25,shipped,21015 Adam Mall,Port Juliefort,AS,67969,8.05,155.39
180,338,2025-03-03,processing,042 Bonnie Spring Suite 663,North Brentport,MA,26864,12.6,2714.75
181,854,2024-12-11,processing,23653 Thomas Green Suite 250,Acevedoberg,ID,30409,14.99,4763.31
182,671,2025-09-08,shipped,0944 Robertson Corner Suite 493,Smithland,MO,11211,10.15,1912.56
183,842,2025-04-21,delivered,630 Gonzalez Estates Apt. 575,Alyssafurt,IL,79107,24.33,1666.25
184,658,2024-12-26,delivered,38988 Adam Port,Madisonside,NC,17082,14.22,141.67
185,751,2025-01-15,shipped,58623 Jarvis Divide,East Madison,PW,17688,8.39,1125.58
186,738,2025-01-04,cancelled,01442 Patricia Lake Suite 657,Fisherfurt,CT,83376,14.77,2346.85
187,939,2025-07-04,cancelled,74342 Anthony Inlet Apt. 988,Lake Susan,AK,33128,24.81,2853.38
188,981,2025-07-29,pending,646 Arroyo Branch Apt. 687,Juliastad,DE,83051,15.48,3173.05
189,860,2025-06-30,pending,6124 Frye Union Suite 859,Grayport,WY,56577,23.9,4107.35
190,685,2025-06-07,pending,9028 Thomas Motorway Suite 694,West Jennifer,AS,41583,20.29,1863.97
191,423,2025-05-03,processing,4782 Brandon Fields,Alvaradohaven,IA,47955,21.85,4131.41
192,237,2025-10-17,pending,813 Anderson Greens,Port Brandon,LA,55490,19.14,451.74
193,10,2025-08-13,processing,2170 Pacheco Views,Taylorfort,NH,75518,15.11,701.47
194,383,2025-06-02,pending,20304 James Turnpike,Fordtown,VA,04163,17.36,417.85
195,683,2025-07-04,cancelled,53238 Brown Port,Mitchelltown,AS,56766,23.26,646.6
196,676,2025-09-14,delivered,81063 Caitlin Lakes Suite 480,Pricefurt,KY,93042,5.31,1857.42
197,545,2025-11-02,cancelled,906 Brown Keys,East Wendymouth,VI,33278,13.23,1620.28
198,18,2025-10-13,cancelled,0421 Wilson Divide,New Shannon,AS,98927,19.44,489.04
199,549,2025-05-25,shipped,09854 Brown Route,Port Matthew,NJ,52729,5.34,990.75
200,833,2025-02-08,delivered,123 Guerra Rue,Lake Jason,AZ,51987,21.12,2077.09
201,932,2025-01-08,processing,6020 Johnson Gateway,Youngfurt,MT,70897,7.14,4833.9
202,99,2024-11-28,cancelled,9760 Espinoza Bridge,Peggychester,AK,06311,7.98,1157.83
203,197,2025-03-16,cancelled,199 Berry Field,Josephland,SD,85811,15.53,3978.95
204,835,2025-04-04,shipped,028 Lynch Points Apt. 622,Matthewmouth,NV,40431,10.35,777.92
205,407,2025-10-01,pending,450 Ryan Burg,South Jesse,AL,76797,12.46,2484.41
206,416,2025-07-07,delivered,69313 John Flats Suite 528,West Elizabethborough,HI,97584,16.3,3221.77
207,714,2025-08-18,processing,4581 Turner Groves Suite 152,Arnoldmouth,RI,14828,11.0,1093.34
208,848,2025-03-25,pending,0794 Scott Square Apt. 608,East Mauriceton,MO,04518,18.07,1696.05
209,879,2025-01-08,pending,48971 Alvarez Lodge,Baileyfurt,GU,43667,6.87,225.69
210,389,2024-11-25,delivered,021 Oliver Trail,Turnermouth,AL,85884,16.05,1065.47
211,58,2025-03-06,pending,016 Ross Divide Suite 662,Robertshire,MI,08922,19.06,3142.38
212,85,2025-01-03,delivered,62802 Meadows Turnpike Suite 228,Victorfurt,OR,64291,21.91,1120.59
213,661,2025-05-22,shipped,68194 Danielle Grove,Hallmouth,TX,72617,16.32,2576.92
214,879,2025-10-30,pending,272 Sean Grove,North Dennisburgh,RI,05832,22.9,2143.6
215,942,2025-11-05,pending,884 Brandy Flat Suite 263,Port Jeffreyport,OR,33955,9.6,2165.33
216,923,2025-04-17,cancelled,182 Raymond Crossroad Apt. 938,Frankburgh,RI,29105,14.51,4185.15
217,48,2024-12-27,pending,2311 Brennan Inlet,Rothshire,UT,59761,18.69,466.49
218,288,2025-07-01,cancelled,9988 Christian Wall,North Nicholas,AZ,41676,16.27,4989.7
219,34,2025-09-11,processing,3284 Skinner Club Apt. 993,Hortonhaven,KY,26960,23.58,1442.61
220,323,2024-12-11,pending,9148 Perry Harbors Apt. 730,New Garrettville,ND,74094,24.23,300.33
221,602,2025-09-30,processing,9832 Lisa Centers,North Nicholashaven,AK,12009,20.05,1807.44
222,730,2025-08-24,delivered,3281 Ware Road,South Travisland,NY,73449,23.58,6391.74
223,307,2025-06-28,processing,6505 Ward Land,West Theresa,AK,07077,16.28,4390.27
224,581,2025-09-01,delivered,716 Shawn Unions Suite 753,Jonathonborough,TX,12769,18.54,2627.24
225,554,2025-07-26,shipped,18698 Nicole Trail Apt. 185,New Sarah,AR,03767,12.68,1219.38
226,758,2025-09-30,processing,229 Gutierrez Ways Suite 616,Parsonsville,ND,49279,20.81,2095.74
227,706,2025-05-01,pending,09207 Scott Square,Moralesstad,TN,62543,15.02,334.58
228,998,2025-10-05,shipped,7290 Joseph Shoal Apt. 865,South Paulfort,TX,86898,6.07,494.41
229,448,2025-10-25,processing,727 Melvin Radial,South Sherristad,RI,91471,21.77,162.15
230,349,2025-02-01,cancelled,51009 Gregg Wall,Lake Lisa,NC,57194,20.38,2003.93
231,978,2024-12-17,cancelled,03580 Marshall Spurs,North Patricialand,GA,08085,12.93,544.81
232,793,2025-10-22,shipped,593 Franklin Rest Suite 384,Johnview,VI,51744,5.59,1329.79
233,280,2025-06-01,delivered,662 Patricia Stravenue,North Jamesmouth,IN,51743,14.81,3007.46
234,365,2025-01-23,cancelled,0815 Heather Village Apt. 778,East Kelli,NC,24759,23.82,1293.44
235,443,2025-04-12,processing,464 Estes Mission Suite 310,East Victoriachester,OH,80334,18.59,3271.47
236,677,2025-07-28,delivered,75714 Gregory Landing Suite 291,Reedfort,OK,33287,6.71,741.41
237,634,2025-02-21,shipped,15866 Frost Via Apt. 725,Markburgh,VI,69935,20.96,2801.35
238,731,2025-01-21,pending,0230 Derek Summit,Jamesmouth,CT,98413,6.64,1375.03
239,158,2025-11-11,delivered,02394 Kyle Curve,North Natalieport,AZ,16433,19.23,3910.57
240,650,2025-04-23,processing,491 Sara Flats Apt. 495,North Adamchester,FM,92270,19.79,4157.51
241,325,2025-09-15,shipped,24911 Lane Rest Apt. 478,Fordberg,PA,62379,7.13,7349.46
242,6,2025-02-20,shipped,9307 David Trafficway Suite 821,South Cassandra,AK,94103,13.89,833.75
243,780,2025-09-03,shipped,846 Thompson Parks Apt. 457,Leestad,NY,96097,7.04,1363.94
244,90,2025-04-29,processing,13549 Lawrence Light,Hillchester,WY,38618,13.62,3856.86
245,571,2025-03-07,cancelled,32815 Miller Manor,East Natalie,TN,95510,15.25,3062.74
246,106,2025-01-05,pending,460 Hughes Skyway,Proctorton,NJ,17971,6.79,3253.15
247,568,2025-02-26,pending,187 Garcia Oval,New Laurenside,CO,42271,16.94,1349.99
248,804,2025-10-20,shipped,7115 Trevor Squares,South Cynthiaborough,WV,56292,22.27,5554.82
249,13,2024-12-13,shipped,04063 Mary Fields,Jacksonhaven,CT,84674,13.28,3256.2
250,798,2025-09-17,pending,911 Jason Mountains Apt. 661,Ellisville,OR,58124,19.5,1091.46
251,573,2025-06-16,processing,781 Thompson Light Suite 141,Nortonburgh,MT,87536,16.44,1238.24
252,174,2025-07-23,delivered,07321 Shannon Shores Apt. 151,Prestontown,PA,53336,8.39,418.13
253,276,2025-08-16,shipped,16734 Angela Green Apt. 678,Mossmouth,NY,37167,10.37,1179.12
254,150,2024-11-16,pending,512 Ricky Crossroad Suite 873,Smithview,KY,81583,8.34,1625.82
255,283,2025-07-18,delivered,1589 Katherine Park Apt. 259,East Jennifer,OK,90262,11.0,3502.51
256,802,2025-06-06,pending,936 Escobar Grove Apt. 151,Lake Dennisfurt,CA,01401,12.22,2609.98
257,967,2025-06-16,processing,282 Freeman Lane,Jamesshire,AS,73960,19.42,1242.52
258,508,2025-07-28,cancelled,7326 Cowan Estates Suite 677,North Christopher,DC,26995,17.33,504.57
259,469,2025-03-17,pending,9434 Whitney Mount,Lake Judyfurt,FL,95642,7.71,2306.89
260,7,2025-05-09,delivered,7848 Johnson Island Suite 413,Lake Andrewfurt,MO,06315,11.64,403.72
261,636,2025-08-05,delivered,94513 Pitts Avenue Apt. 148,South Angelaton,FM,56745,21.08,1663.83
262,338,2025-06-30,delivered,036 Evelyn Drive Suite 237,Andrewport,IL,20690,11.69,5242.52
263,836,2025-10-28,cancelled,27846 Justin Centers Suite 837,Brookeview,VT,47230,7.72,1742.92
264,329,2025-05-24,cancelled,30710 Bennett Canyon,South Shannonport,CT,49357,23.95,2019.77
265,206,2025-05-24,delivered,524 Cynthia Park Suite 155,South Martinchester,KS,40631,11.28,1908.8
266,988,2025-06-12,delivered,214 Ashley Inlet,Port Joshua,MH,08594,24.37,8270.45
267,299,2025-09-22,delivered,5451 Jennifer Vista,Williamsburgh,VT,18588,24.36,990.72
268,801,2025-01-07,processing,679 Robert Dale Suite 341,Frenchland,PR,40087,11.52,1764.82
269,288,2025-05-23,delivered,965 Garcia Lodge,Lake Suzanne,GU,15770,12.3,1621.3
270,955,2025-07-24,cancelled,687 Mendoza Course,East Jennifer,NJ,56686,9.0,592.58
271,559,2025-05-09,processing,4718 Cunningham Shoals Apt. 390,Benjaminton,NY,53955,18.63,1351.72
272,564,2025-01-03,pending,5714 Steven Radial,North Caitlin,VA,24450,24.06,588.48
273,473,2025-10-19,processing,59535 Courtney Stravenue,Davidchester,MT,53342,13.77,5310.14
274,299,2025-07-26,pending,8566 Megan Terrace,Lake Edwinside,MA,40313,21.38,3361.41
275,815,2024-12-08,delivered,120 Michael Drives,Richmouth,MN,33831,18.46,3385.19
276,143,2025-08-03,shipped,714 Patricia Inlet Suite 288,Sullivanchester,NY,67465,9.84,1821.52
277,675,2024-11-20,processing,495 Oscar Isle,Lake Joycestad,MP,38936,19.3,3211.85
278,809,2025-08-08,delivered,1372 Daniel Expressway Apt. 144,Bautistachester,NE,66587,6.48,2003.88
